"teamfull","city","state","league","teamonly","cityonly","teamns","cityns","teamonly2","cityonly2"
"Arizona Diamondbacks","Phoenix","Arizona","MLB","Diamondbacks","Arizona","Diamondbacks","Arizona","Diamondbacks","Arizona"
"Atlanta Braves","Cumberland","Georgia","MLB","Braves","Atlanta","Braves","Atlanta","Braves","Atlanta"
"Baltimore Orioles","Baltimore","Maryland","MLB","Orioles","Baltimore","Orioles","Baltimore","Orioles","Baltimore"
"Boston Red Sox","Boston","Massachusetts","MLB","Red Sox","Boston","RedSox","Boston","Red Sox","Boston"
"Chicago Cubs","Chicago","Illinois","MLB","Cubs","Chicago","Cubs","Chicago","Cubs","Chicago"
"Chicago White Sox","Chicago","Illinois","MLB","White Sox","Chicago","WhiteSox","Chicago","White Sox","Chicago"
"Cincinnati Reds","Cincinnati","Ohio","MLB","Reds","Cincinnati","Reds","Cincinnati","Reds","Cincinnati"
"Cleveland Guardians","Cleveland","Ohio","MLB","Guardians","Cleveland","Guardians","Cleveland","Guardians","Cleveland"
"Colorado Rockies","Denver","Colorado","MLB","Rockies","Colorado","Rockies","Colorado","Rockies","Colorado"
"Detroit Tigers","Detroit","Michigan","MLB","Tigers","Detroit","Tigers","Detroit","Tigers","Detroit"
"Houston Astros","Houston","Texas","MLB","Astros","Houston","Astros","Houston","Astros","Houston"
"Kansas City Royals","Kansas City","Missouri","MLB","Royals","Kansas City","Royals","KansasCity","Royals","Kansas City"
"Los Angeles Angels","Anaheim","California","MLB","Angels","Los Angeles","Angels","LosAngeles","Angels","Los Angeles"
"Los Angeles Dodgers","Los Angeles","California","MLB","Dodgers","Los Angeles","Dodgers","LosAngeles","Dodgers","Los Angeles"
"Miami Marlins","Miami","Florida","MLB","Marlins","Miami","Marlins","Miami","Marlins","Miami"
"Milwaukee Brewers","Milwaukee","Wisconsin","MLB","Brewers","Milwaukee","Brewers","Milwaukee","Brewers","Milwaukee"
"Minnesota Twins","Minneapolis","Minnesota","MLB","Twins","Minnesota","Twins","Minnesota","Twins","Minnesota"
"New York Mets","New York City","New York","MLB","Mets","New York","Mets","NewYork","Mets","New York"
"New York Yankees","New York City","New York","MLB","Yankees","New York","Yankees","NewYork","Yankees","New York"
"Oakland Athletics","Oakland","California","MLB","Athletics","Oakland","Athletics","Oakland","Athletics","Oakland"
"Philadelphia Phillies","Philadelphia","Pennsylvania","MLB","Phillies","Philadelphia","Phillies","Philadelphia","Phillies","Philadelphia"
"Pittsburgh Pirates","Pittsburgh","Pennsylvania","MLB","Pirates","Pittsburgh","Pirates","Pittsburgh","Pirates","Pittsburgh"
"St. Louis Cardinals","St. Louis","Missouri","MLB","Cardinals","St. Louis","Cardinals","StLouis","Cardinals","St Louis"
"San Diego Padres","San Diego","California","MLB","Padres","San Diego","Padres","SanDiego","Padres","San Diego"
"San Francisco Giants","San Francisco","California","MLB","Giants","San Francisco","Giants","SanFrancisco","Giants","San Francisco"
"Seattle Mariners","Seattle","Washington","MLB","Mariners","Seattle","Mariners","Seattle","Mariners","Seattle"
"Tampa Bay Rays","St. Petersburg","Florida","MLB","Rays","Tampa Bay","Rays","TampaBay","Rays","Tampa Bay"
"Texas Rangers","Arlington","Texas","MLB","Rangers","Texas","Rangers","Texas","Rangers","Texas"
"Toronto Blue Jays","Toronto","Ontario","MLB","Blue Jays","Toronto","BlueJays","Toronto","Blue Jays","Toronto"
"Washington Nationals","Washington","District of Columbia","MLB","Nationals","Washington","Nationals","Washington","Nationals","Washington"
"Atlanta United FC","Atlanta","Georgia","MLS","Atlanta United","Atlanta","AtlantaUnited","Atlanta","Atlanta United","Atlanta"
"Austin FC","Austin","Texas","MLS","Austin FC","Austin","AustinFC","Austin","Austin FC","Austin"
"CF Montreal","Montreal","Quebec","MLS","Montreal CF","Montreal","MontrealCF","Montreal","Montreal CF","Montreal"
"Charlotte FC","Charlotte","North Carolina","MLS","Charlotte FC","Charlotte","CharlotteFC","Charlotte","Charlotte FC","Charlotte"
